,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
238,0,0,0,0,0,0,0,0,0,1,0,5,9,0,5,0,6,5,0,0,1,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,2,0,5,7,0,3,0,3,5,0,0,0,0,1,0,0,0,0,0
240,0,0,0,0,0,1,0,0,0,2,1,9,13,2,9,0,6,10,0,0,3,1,1,0,0,0,0,0
241,0,0,0,0,0,1,1,0,0,0,0,3,7,1,5,0,7,4,0,0,0,0,1,0,0,0,0,0
242,0,0,0,0,0,1,0,0,0,4,1,13,6,1,9,0,9,13,0,0,2,0,1,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,0,4,4,0,0,0,0,1,0,0,0,0,0
244,0,0,0,0,0,0,1,0,0,3,0,3,6,2,9,2,6,7,0,1,1,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,2,0,5,5,0,3,0,2,5,0,0,1,0,1,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,1,0,8,5,1,4,0,4,8,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,2,0,3,4,0,5,0,2,5,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,1,0,0,0,0,1,5,4,1,8,0,3,6,0,0,2,0,1,0,0,0,0,0
249,0,0,0,0,0,1,0,0,0,0,0,2,3,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,2,2,0,0,0,0,2,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,1,0,0,0,1,1,3,7,4,4,4,8,6,0,1,0,0,1,0,0,0,0,0
253,0,0,0,0,0,1,0,0,0,0,0,2,2,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,1,0,5,2,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,3,0,1,2,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,1,0,0,5,0,9,27,0,7,0,27,11,0,1,2,0,1,0,0,0,0,0
